Firma;Website;Gesamtbewertung;Punkte;Einstufung;Ausschlussgrund;Kurzbegründung;Datenqualität;Ort;Land;Produktkategorien;Mitarbeiter;Umsatz (Mio. EUR);Konzernmutter;Quelle;Beleg;LinkedIn Firmenprofil URL;F1 Branche;F1 Begründung;F2 Region;F2 Begründung;F3 Mitarbeiterzahl;F3 Begründung;F4 Jahresumsatz;F4 Begründung;B1 Präzisionsanspruch in Druckwerk und Bogenführung;B1 Begründung;B2 Druckwerke, Bogeneinzug und Bahnführung als Kernbaugruppen;B2 Begründung;B3 Einsatz von Linear- und Antriebstechnik;B3 Begründung;B4 Ersatzteil- und Servicegeschäft;B4 Begründung;B5 Hohe Taktzahlen und Serienmaschinenbau;B5 Begründung;B6 Eigene Entwicklung und Konstruktion von Neumaschinen;B6 Begründung;B7 Strukturierter Einkauf und Lieferantenmanagement;B7 Begründung;B8 Qualitätssicherung und dokumentierte Prüfung;B8 Begründung
swissQprint AG;https://www.swissqprint.com/de/de/;D;47;Schlechter Fit;kein Ausschlusskriterium;4 von 12 Kriterien mit A, 2 mit D. Kernprodukt laut Recherche: Grossformat-UV-LED-Flachbett- und Rollendrucker. Auf der Website 9 Fundstellen zu Kernbegriffen: Digitaldruck (4), Druckmaschine (2), Inkjet (2), Drucksystem (1).;Hoch, recherchiert und Website geprüft, 100 Prozent der Kriterien belegt;9451 Kriessern;Schweiz;Grossformat-UV-LED-Flachbett- und Rollendrucker;220 (Recherche);44 (abgeleitet);;Websuche Digitaldruckmaschinen Hersteller Schweiz;"Website: We develop and build large-format UV-LED printers with passion, 100% made in Switzerland; Sitz Schuetzenwiese 8, Kriessern.";https://ch.linkedin.com/company/swissqprint;A;Kernprodukt laut Recherche: Grossformat-UV-LED-Flachbett- und Rollendrucker. Auf der Website 9 Fundstellen zu Kernbegriffen: Digitaldruck (4), Druckmaschine (2), Inkjet (2), Drucksystem (1).;C;Sitz 9451 Kriessern, Schweiz, im deutschsprachigen Raum, Zielregion ist Heidelberg.;D;220 Mitarbeiter (Recherche, Gesellschaft: https://www.swissqprint.com/ch/de/unternehmen/ (2026: 220 Mitarbeitende engagieren sich taeglich fuer Sie)), deutlich unter dem ICP-Band 1.001 bis 10.000.;D;44 Mio. EUR (aus 220 Mitarbeitern abgeleitet (0,2 Mio. EUR je Kopf, Maschinenbau)), deutlich unter dem ICP-Band rund 2 Mrd. EUR.;C;Schwacher Beleg, nur präzise (1) auf 9 Seiten.;C;Schwacher Beleg, nur Register (1) auf 9 Seiten.;C;Keiner der Begriffe auf 9 gecrawlten Seiten gefunden. Bauteil- oder Fachvokabular steht selten auf Firmenwebsites, daher kein Abzug bis D.;C;Schwacher Beleg, nur Lebensdauer (1) auf 9 Seiten.;A;2 Begriffe mit 12 Fundstellen auf 9 Seiten: Druckgeschwindigkeit (11), Durchsatz (1).;A;3 Begriffe mit 8 Fundstellen auf 9 Seiten: Entwicklung (5), Innovation (2), Forschung und Entwicklung (1).;B;1 Begriffe mit 2 Fundstellen: Lieferant (2).;A;2 Begriffe mit 7 Fundstellen auf 9 Seiten: zertifiziert (4), Zertifizierung (3).
Winkler+Dünnebier GmbH (BW Converting GmbH);https://www.bwconverting.com/brand/w-d/;D;47;Schlechter Fit;kein Ausschlusskriterium;3 von 12 Kriterien mit A, 4 mit D. Randbereich der Zielbranche laut Recherche: Kuvertier- und Briefumschlagmaschinen mit Druckwerken.;Hoch, recherchiert und Website geprüft, 100 Prozent der Kriterien belegt;56564 Neuwied;Deutschland;Kuvertier- und Briefumschlagmaschinen mit Druckwerken;500 (Recherche);100 (abgeleitet);Barry-Wehmiller (BW Converting, USA);VDMA Mitgliederverzeichnis (BW Converting GmbH, Neuwied);"Wikipedia: Winkler+Duennebier ist ein Maschinen- und Anlagenbauunternehmen in Neuwied; Briefumschlag- und Kuvertiermaschinen mit integrierten Druckwerken.";https://www.linkedin.com/company/bw-converting;B;Randbereich der Zielbranche laut Recherche: Kuvertier- und Briefumschlagmaschinen mit Druckwerken.;B;Sitz 56564 Neuwied, Deutschland, im Land der Zielregion (Heidelberg), aber nicht in der Region selbst.;C;500 Mitarbeiter (Recherche, Gruppe: https://de.wikipedia.org/wiki/Winkler%2BD%C3%BCnnebier (Stand 23.02.2026: 500 Mitarbeiter W+D-Gruppe)), unter dem ICP-Band 1.001 bis 10.000.;D;100 Mio. EUR (aus 500 Mitarbeitern abgeleitet (0,2 Mio. EUR je Kopf, Maschinenbau)), deutlich unter dem ICP-Band rund 2 Mrd. EUR.;A;3 Begriffe mit 5 Fundstellen auf 6 Seiten: precision (2), tolerance (2), accuracy (1).;A;3 Begriffe mit 33 Fundstellen auf 6 Seiten: Register (29), printing unit (3), Rotation (1).;C;Keiner der Begriffe auf 6 gecrawlten Seiten gefunden. Bauteil- oder Fachvokabular steht selten auf Firmenwebsites, daher kein Abzug bis D.;D;Keiner der Begriffe auf 6 gecrawlten Seiten gefunden.;C;Schwacher Beleg, nur high-speed (2) auf 6 Seiten.;A;2 Begriffe mit 25 Fundstellen auf 6 Seiten: Innovation (24), engineering (1).;D;Keiner der Begriffe auf 6 gecrawlten Seiten gefunden.;D;Keiner der Begriffe auf 6 gecrawlten Seiten gefunden.
Wohlenberg Buchbindesysteme GmbH;https://www.wohlenberg.com/de/;D;47;Schlechter Fit;kein Ausschlusskriterium;1 von 12 Kriterien mit A, 4 mit D, 2 ohne Datenbasis. Randbereich der Zielbranche laut Recherche: Zusammentragmaschinen, Klebebinder, Dreischneider.;Mittel, nur Website, 73 Prozent der Kriterien belegt;27283 Verden;Deutschland;Zusammentragmaschinen, Klebebinder, Dreischneider;k. A.;k. A.;Baumann Gruppe;Startliste;"Website: Am Standort Verden werden Zusammentragmaschinen, Klebebinder, Dreischneider sowie Spezialmaschinen entwickelt und produziert; Teil der Baumann Gruppe.";nicht auf der Website verlinkt;B;Randbereich der Zielbranche laut Recherche: Zusammentragmaschinen, Klebebinder, Dreischneider.;B;Sitz 27283 Verden, Deutschland, im Land der Zielregion (Heidelberg), aber nicht in der Region selbst.;N;Keine belegte Mitarbeiterzahl (weder Recherche noch Website).;N;Kein Umsatz veröffentlicht und keine Mitarbeiterzahl zum Ableiten.;D;Keiner der Begriffe auf 5 gecrawlten Seiten gefunden.;B;2 Begriffe mit 5 Fundstellen: Register (4), Bogen (1).;C;Keiner der Begriffe auf 5 gecrawlten Seiten gefunden. Bauteil- oder Fachvokabular steht selten auf Firmenwebsites, daher kein Abzug bis D.;A;3 Begriffe mit 23 Fundstellen auf 5 Seiten: Ersatzteil (18), Wartung (3), Verfügbarkeit (2).;D;Keiner der Begriffe auf 5 gecrawlten Seiten gefunden.;B;2 Begriffe mit 3 Fundstellen: Entwicklung (2), Patent (1).;D;Keiner der Begriffe auf 5 gecrawlten Seiten gefunden.;D;Keiner der Begriffe auf 5 gecrawlten Seiten gefunden.
Baumer hhs GmbH;https://www.baumerhhs.com/;D;45;Schlechter Fit;kein Ausschlusskriterium;2 von 12 Kriterien mit A, 3 mit D. Randbereich der Zielbranche laut Recherche: Klebstoffauftrags- und Qualitaetssicherungssysteme fuer Verpackungs- und Druckmaschinen.;Hoch, recherchiert und Website geprüft, 100 Prozent der Kriterien belegt;47829 Krefeld;Deutschland;Klebstoffauftrags- und Qualitaetssicherungssysteme fuer Verpackungs- und Druckmaschinen;250 (Recherche);50 (abgeleitet);Baumer Group;Websuche Peripherie Verpackungs- und Druckmaschinen;"Website/Impressum: Baumer hhs GmbH, Adolf-Dembach-Strasse 19, 47829 Krefeld; Klebstoffauftragssysteme und Kamerapruefsysteme fuer Falzschachtel-, Wellpappen- und Druckmaschinen.";nicht auf der Website verlinkt;B;Randbereich der Zielbranche laut Recherche: Klebstoffauftrags- und Qualitaetssicherungssysteme fuer Verpackungs- und Druckmaschinen.;B;Sitz 47829 Krefeld, Deutschland, im Land der Zielregion (Heidelberg), aber nicht in der Region selbst.;D;250 Mitarbeiter (Recherche, Gesellschaft: https://www.baumerhhs.com/de/ueber-uns/karriere (2026: Mit ueber 250 Mitarbeitern und Mitarbeiterinnen)), deutlich unter dem ICP-Band 1.001 bis 10.000.;D;50 Mio. EUR (aus 250 Mitarbeitern abgeleitet (0,2 Mio. EUR je Kopf, Maschinenbau)), deutlich unter dem ICP-Band rund 2 Mrd. EUR.;A;4 Begriffe mit 14 Fundstellen auf 8 Seiten: Präzision (7), präzise (3), precision (3), Maßhaltigkeit (1).;B;2 Begriffe mit 8 Fundstellen: Rotation (5), Register (3).;C;Keiner der Begriffe auf 8 gecrawlten Seiten gefunden. Bauteil- oder Fachvokabular steht selten auf Firmenwebsites, daher kein Abzug bis D.;C;Schwacher Beleg, nur Lebensdauer (1) auf 8 Seiten.;B;2 Begriffe mit 8 Fundstellen: Hochleistung (6), m/min (2).;B;2 Begriffe mit 3 Fundstellen: Maschinengeneration (2), Entwicklung (1).;D;Keiner der Begriffe auf 8 gecrawlten Seiten gefunden.;A;2 Begriffe mit 3 Fundstellen auf 8 Seiten: Prüfprotokoll (2), Dokumentation (1).
Göpfert Maschinen GmbH;https://goepfert.de/;D;45;Schlechter Fit;kein Ausschlusskriterium;2 von 12 Kriterien mit A, 4 mit D. Kernprodukt laut Recherche: Flexodruckmaschinen und Rotationsstanzen fuer Wellpappe. Auf der Website 12 Fundstellen zu Kernbegriffen: Druckwerk (6), Wellpappe (6).;Hoch, recherchiert und Website geprüft, 100 Prozent der Kriterien belegt;97353 Wiesentheid;Deutschland;Flexodruckmaschinen und Rotationsstanzen fuer Wellpappe;500 (Recherche);129 (Recherche);Familienbesitz (3. Generation);"Wikipedia Kategorie Druckmaschinenhersteller; Startliste";"Wikipedia: Maschinen fuer die Wellpappenverarbeitung, darunter Flexodruckmaschinen und Rotationsstanzen; Website zeigt Flexo Printer Slotter, RDC HBL.";nicht auf der Website verlinkt;A;Kernprodukt laut Recherche: Flexodruckmaschinen und Rotationsstanzen fuer Wellpappe. Auf der Website 12 Fundstellen zu Kernbegriffen: Druckwerk (6), Wellpappe (6).;B;Sitz 97353 Wiesentheid, Deutschland, im Land der Zielregion (Heidelberg), aber nicht in der Region selbst.;C;500 Mitarbeiter (Recherche, Gruppe: https://goepfert.de/unternehmen/historie/ (2025: Rund 500 Mitarbeiter zaehlen zur Unternehmensgruppe)), unter dem ICP-Band 1.001 bis 10.000.;D;129 Mio. EUR (Recherche: https://de.wikipedia.org/wiki/G%C3%B6pfert_Maschinen (GJ 2018)), deutlich unter dem ICP-Band rund 2 Mrd. EUR.;C;Schwacher Beleg, nur Präzision (1) auf 7 Seiten.;A;3 Begriffe mit 9 Fundstellen auf 7 Seiten: Druckwerk (6), Rotation (2), Register (1).;C;Keiner der Begriffe auf 7 gecrawlten Seiten gefunden. Bauteil- oder Fachvokabular steht selten auf Firmenwebsites, daher kein Abzug bis D.;B;2 Begriffe mit 6 Fundstellen: Ersatzteil (5), Lebensdauer (1).;D;Keiner der Begriffe auf 7 gecrawlten Seiten gefunden.;C;Schwacher Beleg, nur Entwicklung (1) auf 7 Seiten.;D;Keiner der Begriffe auf 7 gecrawlten Seiten gefunden.;D;Keiner der Begriffe auf 7 gecrawlten Seiten gefunden.
Hinterkopf GmbH;https://www.hinterkopf.de/de/;D;45;Schlechter Fit;kein Ausschlusskriterium;2 von 12 Kriterien mit A, 2 mit D, 5 ohne Datenbasis. Kernprodukt laut Recherche: Druck- und Digitaldruckmaschinen fuer Tuben, Dosen und Huelsen. Auf der Website 17 Fundstellen zu Kernbegriffen: Digitaldruck (10), Druckmaschine (3), Offsetdruck (1), Flexodruck (1).;Hoch, recherchiert, 70 Prozent der Kriterien belegt;73054 Eislingen;Deutschland;Druck- und Digitaldruckmaschinen fuer Tuben, Dosen und Huelsen;230 (Recherche);46 (abgeleitet);;Websuche Direktdruck Hohlkoerper;Website: Maschinen fuer die Verpackungsproduktion, darunter Digitaldruckmaschinen und komplette Linien fuer zylindrische Behaelter.;https://de.linkedin.com/company/hinterkopf-gmbh;A;Kernprodukt laut Recherche: Druck- und Digitaldruckmaschinen fuer Tuben, Dosen und Huelsen. Auf der Website 17 Fundstellen zu Kernbegriffen: Digitaldruck (10), Druckmaschine (3), Offsetdruck (1), Flexodruck (1).;B;Sitz 73054 Eislingen, Deutschland, im Land der Zielregion (Heidelberg), aber nicht in der Region selbst.;D;230 Mitarbeiter (Recherche, Gesellschaft: https://www.hinterkopf.de/en/company/portrait.html (2026: Family enterprise with 230 employees)), deutlich unter dem ICP-Band 1.001 bis 10.000.;D;46 Mio. EUR (aus 230 Mitarbeitern abgeleitet (0,2 Mio. EUR je Kopf, Maschinenbau)), deutlich unter dem ICP-Band rund 2 Mrd. EUR.;N;Kein Treffer, aber nur 1 Seite(n) abrufbar. Nicht belegbar.;C;Schwacher Beleg, nur Druckwerk (1) auf 1 Seiten.;N;Kein Treffer, aber nur 1 Seite(n) abrufbar. Nicht belegbar.;C;Schwacher Beleg, nur Lebensdauer (1) auf 1 Seiten.;N;Kein Treffer, aber nur 1 Seite(n) abrufbar. Nicht belegbar.;N;Kein Treffer, aber nur 1 Seite(n) abrufbar. Nicht belegbar.;A;2 Begriffe mit 2 Fundstellen auf 1 Seiten: Einkauf (1), Einkaufsbedingungen (1).;N;Kein Treffer, aber nur 1 Seite(n) abrufbar. Nicht belegbar.
Polytype SA;https://www.polytype.com/;D;45;Schlechter Fit;kein Ausschlusskriterium;2 von 12 Kriterien mit A, 3 mit D. Kernprodukt laut Recherche: Trockenoffset- und Digitaldruckmaschinen fuer Becher, Tuben, Deckel. Auf der Website 88 Fundstellen zu Kernbegriffen: Inkjet (81), printing machine (4), printing system (3).;Hoch, recherchiert und Website geprüft, 100 Prozent der Kriterien belegt;1701 Fribourg;Schweiz;Trockenoffset- und Digitaldruckmaschinen fuer Becher, Tuben, Deckel;500 (Recherche);100 (abgeleitet);Wifag-Polytype Holding AG (Ursula-Wirz-Stiftung);"Websuche Direktdruck Hohlkoerper; Wikipedia Wifag-Polytype";"Website: advanced printing and manufacturing solutions for cosmetic tubes, jars, cups, lids, bottles, beverage cans; Sitz route de la Glane, Fribourg.";https://www.linkedin.com/company/polytype;A;Kernprodukt laut Recherche: Trockenoffset- und Digitaldruckmaschinen fuer Becher, Tuben, Deckel. Auf der Website 88 Fundstellen zu Kernbegriffen: Inkjet (81), printing machine (4), printing system (3).;C;Sitz 1701 Fribourg, Schweiz, im deutschsprachigen Raum, Zielregion ist Heidelberg.;C;500 Mitarbeiter (Recherche, Gruppe: https://www.polytype.com/wifag-polytype-group/ (2026: 5 locations, 500 employees, WIFAG-Polytype Group)), unter dem ICP-Band 1.001 bis 10.000.;D;100 Mio. EUR (aus 500 Mitarbeitern abgeleitet (0,2 Mio. EUR je Kopf, Maschinenbau)), deutlich unter dem ICP-Band rund 2 Mrd. EUR.;B;2 Begriffe mit 3 Fundstellen: accuracy (2), precision (1).;C;Schwacher Beleg, nur Rotation (1) auf 8 Seiten.;C;Keiner der Begriffe auf 8 gecrawlten Seiten gefunden. Bauteil- oder Fachvokabular steht selten auf Firmenwebsites, daher kein Abzug bis D.;A;3 Begriffe mit 8 Fundstellen auf 8 Seiten: maintenance (4), spare part (3), uptime (1).;C;Schwacher Beleg, nur high-speed (3) auf 8 Seiten.;B;1 Begriffe mit 7 Fundstellen: Innovation (7).;D;Keiner der Begriffe auf 8 gecrawlten Seiten gefunden.;D;Keiner der Begriffe auf 8 gecrawlten Seiten gefunden.
Rotocontrol EMT GmbH;https://emtinternational.com/;D;45;Schlechter Fit;kein Ausschlusskriterium;"1 von 12 Kriterien mit A, 3 mit D, 2 ohne Datenbasis. Randbereich der Zielbranche laut Recherche: Etiketten-Finishing: Schneid-, Inspektions- und Wickelmaschinen. Auf der Website 5 Fundstellen zu Kernbegriffen: Inkjet (5). Hinweis: 2017 Zusammenschluss mit EMT International; Konstruktion und Fertigung weiterhin in Deutschland";Mittel, nur Website, 73 Prozent der Kriterien belegt;22926 Ahrensburg;Deutschland;Etiketten-Finishing: Schneid-, Inspektions- und Wickelmaschinen;k. A.;k. A.;EMT International (USA);Startliste (Rotocontrol);labelpack.de/FINAT: Rotocontrol, Hersteller von Finishing-Maschinen fuer Etiketten (Schneiden, Inspektion, Wickeln), buendelt Kraefte mit EMT International.;https://www.linkedin.com/company/emt-international;B;Randbereich der Zielbranche laut Recherche: Etiketten-Finishing: Schneid-, Inspektions- und Wickelmaschinen. Auf der Website 5 Fundstellen zu Kernbegriffen: Inkjet (5).;B;Sitz 22926 Ahrensburg, Deutschland, im Land der Zielregion (Heidelberg), aber nicht in der Region selbst.;N;Keine belegte Mitarbeiterzahl (weder Recherche noch Website).;N;Kein Umsatz veröffentlicht und keine Mitarbeiterzahl zum Ableiten.;D;Keiner der Begriffe auf 7 gecrawlten Seiten gefunden.;C;Schwacher Beleg, nur printing unit (2) auf 7 Seiten.;C;Keiner der Begriffe auf 7 gecrawlten Seiten gefunden. Bauteil- oder Fachvokabular steht selten auf Firmenwebsites, daher kein Abzug bis D.;A;2 Begriffe mit 21 Fundstellen auf 7 Seiten: Retrofit (17), maintenance (4).;C;Schwacher Beleg, nur high-speed (4) auf 7 Seiten.;B;2 Begriffe mit 7 Fundstellen: engineering (5), Innovation (2).;D;Keiner der Begriffe auf 7 gecrawlten Seiten gefunden.;D;Keiner der Begriffe auf 7 gecrawlten Seiten gefunden.
Ferag AG;https://www.ferag.com/;D;44;Schlechter Fit;kein Ausschlusskriterium;2 von 12 Kriterien mit A, 3 mit D. Randbereich der Zielbranche laut Recherche: Foerder- und Weiterverarbeitungssysteme fuer Druckerzeugnisse, Intralogistik.;Hoch, recherchiert und Website geprüft, 100 Prozent der Kriterien belegt;8340 Hinwil;Schweiz;Foerder- und Weiterverarbeitungssysteme fuer Druckerzeugnisse, Intralogistik;450 (Recherche);90 (abgeleitet);;"Wikipedia Ferag; Startliste Druckweiterverarbeitung";"Wikipedia/Website: Ferag AG, Hinwil, entwickelt und vertreibt Materialflusssysteme; Ursprung in der Weiterverarbeitung von Druckerzeugnissen (Zeitungsversandraum).";https://www.linkedin.com/company/ferag-solutions;B;Randbereich der Zielbranche laut Recherche: Foerder- und Weiterverarbeitungssysteme fuer Druckerzeugnisse, Intralogistik.;C;Sitz 8340 Hinwil, Schweiz, im deutschsprachigen Raum, Zielregion ist Heidelberg.;C;450 Mitarbeiter (Recherche, Gruppe: https://www.ferag.com/de/unternehmen/ueber-uns/ (2026: 450 Mitarbeiter weltweit)), unter dem ICP-Band 1.001 bis 10.000.;D;90 Mio. EUR (aus 450 Mitarbeitern abgeleitet (0,2 Mio. EUR je Kopf, Maschinenbau)), deutlich unter dem ICP-Band rund 2 Mrd. EUR.;C;Schwacher Beleg, nur precision (1) auf 8 Seiten.;B;1 Begriffe mit 5 Fundstellen: Register (5).;C;Keiner der Begriffe auf 8 gecrawlten Seiten gefunden. Bauteil- oder Fachvokabular steht selten auf Firmenwebsites, daher kein Abzug bis D.;A;3 Begriffe mit 11 Fundstellen auf 8 Seiten: maintenance (7), spare part (3), Retrofit (1).;D;Keiner der Begriffe auf 8 gecrawlten Seiten gefunden.;A;4 Begriffe mit 26 Fundstellen auf 8 Seiten: Innovation (13), engineering (9), Patent (3), research and development (1).;B;1 Begriffe mit 2 Fundstellen: Supply Chain (2).;D;Keiner der Begriffe auf 8 gecrawlten Seiten gefunden.
Jakob Müller AG Frick;https://www.jakobmueller.com/de/;D;44;Schlechter Fit;kein Ausschlusskriterium;2 von 12 Kriterien mit A, 3 mit D, 2 ohne Datenbasis. Randbereich der Zielbranche laut Recherche: Band- und Etikettenwebmaschinen, Etikettendrucksysteme.;Mittel, nur Website, 73 Prozent der Kriterien belegt;5070 Frick;Schweiz;Band- und Etikettenwebmaschinen, Etikettendrucksysteme;k. A.;k. A.;Jakob Müller Holding AG;industrystock Textildruckmaschinen;Website: Jakob Mueller Group steht seit ueber 130 Jahren fuer Swiss precision in der Band- und Schmaltextilindustrie, inkl. Label Production Systems (Druck).;https://ch.linkedin.com/company/jakob-m;B;Randbereich der Zielbranche laut Recherche: Band- und Etikettenwebmaschinen, Etikettendrucksysteme.;C;Sitz 5070 Frick, Schweiz, im deutschsprachigen Raum, Zielregion ist Heidelberg.;N;Keine belegte Mitarbeiterzahl (weder Recherche noch Website).;N;Kein Umsatz veröffentlicht und keine Mitarbeiterzahl zum Ableiten.;C;Schwacher Beleg, nur Präzision (1) auf 9 Seiten.;C;Schwacher Beleg, nur Register (1) auf 9 Seiten.;C;Keiner der Begriffe auf 9 gecrawlten Seiten gefunden. Bauteil- oder Fachvokabular steht selten auf Firmenwebsites, daher kein Abzug bis D.;A;1 Begriffe mit 11 Fundstellen auf 9 Seiten: Ersatzteil (11).;D;Keiner der Begriffe auf 9 gecrawlten Seiten gefunden.;A;1 Begriffe mit 21 Fundstellen auf 9 Seiten: Innovation (21).;D;Keiner der Begriffe auf 9 gecrawlten Seiten gefunden.;D;Keiner der Begriffe auf 9 gecrawlten Seiten gefunden.
SPS TechnoScreen GmbH;https://www.sps-technoscreen.com/;D;44;Schlechter Fit;kein Ausschlusskriterium;2 von 12 Kriterien mit A, 3 mit D. Kernprodukt laut Recherche: Zylinder-Siebdruckmaschinen fuer industrielle Anwendungen. Auf der Website 12 Fundstellen zu Kernbegriffen: Siebdruck (8), printing press (2), printing machine (2).;Mittel, nur Website, 100 Prozent der Kriterien belegt;42389 Wuppertal;Deutschland;Zylinder-Siebdruckmaschinen fuer industrielle Anwendungen;15 (Website);3 (abgeleitet);;Websuche Siebdruckmaschinen Hersteller;"Website/Kontakt: SPS TechnoScreen GmbH, Kohlenstr. 63, 42389 Wuppertal; Druckmaschinen und Anlagenkomponenten fuer das Siebdruckverfahren (Karten, Keramik, Banknoten, funktionale Drucke).";https://de.linkedin.com/company/sps-technoscreen;A;Kernprodukt laut Recherche: Zylinder-Siebdruckmaschinen fuer industrielle Anwendungen. Auf der Website 12 Fundstellen zu Kernbegriffen: Siebdruck (8), printing press (2), printing machine (2).;B;Sitz 42389 Wuppertal, Deutschland, im Land der Zielregion (Heidelberg), aber nicht in der Region selbst.;D;15 Mitarbeiter (Eigendarstellung auf der Website), deutlich unter dem ICP-Band 1.001 bis 10.000.;D;3 Mio. EUR (aus 15 Mitarbeitern abgeleitet (0,2 Mio. EUR je Kopf, Maschinenbau)), deutlich unter dem ICP-Band rund 2 Mrd. EUR.;C;Schwacher Beleg, nur precision (3) auf 8 Seiten.;C;Schwacher Beleg, nur Register (4) auf 8 Seiten.;C;Keiner der Begriffe auf 8 gecrawlten Seiten gefunden. Bauteil- oder Fachvokabular steht selten auf Firmenwebsites, daher kein Abzug bis D.;A;3 Begriffe mit 26 Fundstellen auf 8 Seiten: service part (17), maintenance (8), spare part (1).;C;Schwacher Beleg, nur high-speed (2) auf 8 Seiten.;B;2 Begriffe mit 3 Fundstellen: Innovation (2), Patent (1).;B;1 Begriffe mit 1 Fundstellen: Supplier (1).;D;Keiner der Begriffe auf 8 gecrawlten Seiten gefunden.
Allstein GmbH;https://www.allstein.com/;D;42;Schlechter Fit;kein Ausschlusskriterium;1 von 12 Kriterien mit A, 5 mit D, 2 ohne Datenbasis. Kernprodukt laut Recherche: CI-Flexodruckmaschinen. Auf der Website 10 Fundstellen zu Kernbegriffen: printing press (4), Flexodruck (3), Druckmaschine (2), printing machine (1).;Mittel, nur Website, 73 Prozent der Kriterien belegt;32052 Herford;Deutschland;CI-Flexodruckmaschinen;k. A.;k. A.;;deutsche-exportdatenbank Flexodruckmaschinen;"Website: We develop the most productive flexo presses on the market; Hauptkomponenten werden am Standort Herford entwickelt, gefertigt und getestet.";https://www.linkedin.com/company/allstein-gmbh;A;Kernprodukt laut Recherche: CI-Flexodruckmaschinen. Auf der Website 10 Fundstellen zu Kernbegriffen: printing press (4), Flexodruck (3), Druckmaschine (2), printing machine (1).;B;Sitz 32052 Herford, Deutschland, im Land der Zielregion (Heidelberg), aber nicht in der Region selbst.;N;Keine belegte Mitarbeiterzahl (weder Recherche noch Website).;N;Kein Umsatz veröffentlicht und keine Mitarbeiterzahl zum Ableiten.;D;Keiner der Begriffe auf 4 gecrawlten Seiten gefunden.;C;Schwacher Beleg, nur Register (4) auf 4 Seiten.;C;Keiner der Begriffe auf 4 gecrawlten Seiten gefunden. Bauteil- oder Fachvokabular steht selten auf Firmenwebsites, daher kein Abzug bis D.;D;Keiner der Begriffe auf 4 gecrawlten Seiten gefunden.;D;Keiner der Begriffe auf 4 gecrawlten Seiten gefunden.;B;2 Begriffe mit 2 Fundstellen: Entwicklung (1), Innovation (1).;D;Keiner der Begriffe auf 4 gecrawlten Seiten gefunden.;D;Keiner der Begriffe auf 4 gecrawlten Seiten gefunden.
H. C. MOOG GmbH;https://www.hcmoog.de/;D;42;Schlechter Fit;kein Ausschlusskriterium;1 von 12 Kriterien mit A, 5 mit D, 2 ohne Datenbasis. Kernprodukt laut Recherche: Bogentiefdruckmaschinen und Rotationspraegemaschinen.;Mittel, nur Website, 73 Prozent der Kriterien belegt;65385 Rüdesheim am Rhein;Deutschland;Bogentiefdruckmaschinen und Rotationspraegemaschinen;k. A.;k. A.;;VDMA Mitgliederverzeichnis;"Website: MOOG, over 70 years development and design of single-color and multi-color sheet-fed gravure presses; Impressum Im Laubfrosch 22, 65385 Ruedesheim.";nicht auf der Website verlinkt;A;Kernprodukt laut Recherche: Bogentiefdruckmaschinen und Rotationspraegemaschinen.;B;Sitz 65385 Rüdesheim am Rhein, Deutschland, im Land der Zielregion (Heidelberg), aber nicht in der Region selbst.;N;Keine belegte Mitarbeiterzahl (weder Recherche noch Website).;N;Kein Umsatz veröffentlicht und keine Mitarbeiterzahl zum Ableiten.;D;Keiner der Begriffe auf 6 gecrawlten Seiten gefunden.;C;Schwacher Beleg, nur Register (1) auf 6 Seiten.;C;Keiner der Begriffe auf 6 gecrawlten Seiten gefunden. Bauteil- oder Fachvokabular steht selten auf Firmenwebsites, daher kein Abzug bis D.;D;Keiner der Begriffe auf 6 gecrawlten Seiten gefunden.;D;Keiner der Begriffe auf 6 gecrawlten Seiten gefunden.;B;2 Begriffe mit 3 Fundstellen: engineering (2), research and development (1).;D;Keiner der Begriffe auf 6 gecrawlten Seiten gefunden.;D;Keiner der Begriffe auf 6 gecrawlten Seiten gefunden.
